keyword,judul,media,tanggal,link,isi_berita
SPPG Kota Banjarbaru Landasan Ulin Guntung Manggis 1,"Peternak Babi Mengadu ke Ombudsdman, Pemko Banjarbaru; Silakan!",pojokbanua.com,"Fri, 12 Jul 2024 07:00:00 GMT",https://pojokbanua.com/peternak-babi-mengadu-ke-ombudsdman-pemko-banjarbaru-silakan/,"POJOKBANUA, BANJARBARU – Rencana pengaduan peternak babi ke Ombudsman Perwakilan Kalimantan Selatan (Kalsel) ihwal pelayangan surat peringatan kedua (SP2) sampai ke Pemko Banjarbaru.

Dihubungi pojokbanua.com pada Jumat (12/7/2024) siang Wali Kota Banjarbaru, Aditya Mufti Ariffin meminta untuk mengonfirmasi ke Satpol PP Banjarbaru ihwal pengaduan peternak babi ke Ombudsman.

“Silakan ke Satpol PP,” ujarnya kepada pojokbanua.com.

Sementara itu, Kepala Satpol PP Banjarbaru, Hidayaturahman mempers... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Landasan Ulin Guntung Manggis 1,Pengelola Travel Umrah PT Musthafa Ary Tour Ditangkap! Diduga Menipu - Kaltengpos.jawapos.com,KaltengPos,"Tue, 11 Feb 2025 08:00:00 GMT",https://kaltengpos.jawapos.com/nasional/2626277232/pengelola-travel-umrah-pt-musthafa-ary-tour-ditangkap-diduga-menipu,[Isi berita gagal diekstrak secara utuh. Teks terlalu pendek atau diproteksi. Cek manual link: https://kaltengpos.jawapos.com/nasional/2626277232/pengelola-travel-umrah-pt-musthafa-ary-tour-ditangkap-diduga-menipu]
SPPG Kota Banjarbaru Landasan Ulin Guntung Manggis 1,Ponpes Walisongo Banjarbaru Gelar Peringatan Satu Abad NU dan Haul Tokoh NU,banjarbaruklik.com,"Thu, 02 Feb 2023 08:00:00 GMT",https://banjarbaruklik.com/ponpes-walisongo-banjarbaru-gelar-peringatan-satu-abad-nu-dan-haul-tokoh-nu/,[Isi berita gagal diekstrak secara utuh. Teks terlalu pendek atau diproteksi. Cek manual link: https://banjarbaruklik.com/ponpes-walisongo-banjarbaru-gelar-peringatan-satu-abad-nu-dan-haul-tokoh-nu/]
SPPG Kota Banjarbaru Landasan Ulin Guntung Manggis 1,"Sudah Ada 20 SPPG di Banjarbaru Kalsel, Salurkan MBG ke 17.109 Siswa",Tribunnews.com,"Fri, 19 Sep 2025 07:00:00 GMT",https://banjarmasin.tribunnews.com/kalsel/1330642/sudah-ada-20-sppg-di-banjarbaru-kalsel-salurkan-mbg-ke-17109-siswa,"BANJARMASINPOST.CO.ID, BANJARBARU - Satuan Pelayanan Pemenuhan Gizi (SPPG) di Kota Banjarbaru menyalurkan Program MBG 2025, mulai dari wilayah Sungai Besar, Cempaka, Landasan Ulin, hingga Komet.

Berdasarkan data yang dihimpun, tercatat sejumlah SPPG yang berkolaborasi dengan yayasan menyalurkan MBG ke lembaga pendidikan tersebar di lima kecamatan di Banjarbaru.

Misalnya SPPG Sungai Besar 1 yang dikelola Yayasan Taman Pendidikan Islam Ar-Rahman, berlokasi di Jalan Pramaban, serta SPPG Sungai Be... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Landasan Ulin Guntung Manggis 1,5 Destinasi Wisata Alam di Banjarbaru yang Wajib Masuk Daftar Liburan Anda - Ketik News,Ketik News,"Fri, 24 Nov 2023 08:00:00 GMT",https://www.ketiknews.id/pariwisata/30110970721/5-destinasi-wisata-alam-di-banjarbaru-yang-wajib-masuk-daftar-liburan-anda?page=2,"Wisata Danau Seran adalah sebuah danau buatan yang terbentuk dari bekas galian tambang intan. Danau ini memiliki luas sekitar 10 hektar dan airnya berwarna biru kehijauan.

Di danau ini, Anda bisa menikmati berbagai aktivitas seru seperti berenang, bermain perahu karet, banana boat, flying fox, dan lain-lain.

Anda juga bisa bersantai di gazebo-gazebo yang tersedia di sekitar danau. Wisata Danau Seran berlokasi di Jl. Sungai Sumba, Guntungmanggis, Kec. Landasan Ulin, Kota Banjar Baru.

Embung Si... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Banjarbaru Utara Mentaos,Komisi III DPRD Banjarbaru tinjau UPT produksi perikanan BAT,ANTARA News,"Mon, 12 Dec 2022 08:00:00 GMT",https://kalsel.antaranews.com/berita/353771/komisi-iii-dprd-banjarbaru-tinjau-upt-produksi-perikanan-bat,"Banjarbaru (ANTARA) - Rombongan Komisi III DPRD Kota Banjarbaru meninjau Unit Pelaksana Teknis Produksi Perikanan Budidaya Air Tawar yang dikelola Dinas Ketahanan Pangan, Pertanian dan Perikanan Banjarbaru, Kalsel."
SPPG Kota Banjarbaru Banjarbaru Utara Mentaos,"Dua Aksi Penjambretan, Guru SD Meninggal Dunia, Susiati Hilang Uang Komite Rp 50 juta",Kanal Kalimantan,"Tue, 13 Feb 2018 08:00:00 GMT",https://www.kanalkalimantan.com/dua-aksi-penjambretan-guru-sd-meninggal-dunia-susiati-hilang-uang-komite-rp-50-juta/,"BANJARBARU, Hj Darmiah, seorang guru sekolah dasar di kota Banjarbaru jadi korban penjambretan. Sempat dilarikan ke rumah sakit Hj Darmiah hembuskan nafas terakhir, setelah terjatuh dari sepeda motor saat dijambret.

Kejadian penjambretan terhadap Hj Darmiah, terjadi Minggu (11/2) sekitar pukul 09.00 Wita di Jalan Wijaya Kusuma -depan TK Sandi Putra-, Kelurahan Komet, Kecamatan Banjarbaru Utara, Kota Banjarbaru.

Menurut keterangan saksi mata, saat itu korban Hj Darmiah (64) sedang pulang dari p... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Banjarbaru Utara Mentaos,"Inilah Sosok H Nurkhalis Anshari, Politisi PKS yang Memutuskan Maju Dalam Kontestasi Pilkada Banjarbaru 2024",Newsway,"Thu, 30 May 2024 07:00:00 GMT",https://newsway.co.id/inilah-sosok-h-nurkhalis-anshari-politisi-pks-yang-memutuskan-maju-dalam-kontestasi-pilkada-banjarbaru-2024/,"NEWSWAY.ID, BANJARBARU – Tokoh politik yang satu ini usianya baru 38 tahun, tapi sepak terjangnya didunia politik tidak bisa dipandang sebelah mata.

Beliau adalah Nurkhalis Anshari, pertama kali menduduki kursi dewan sejak berusia 28 tahun, ia sudah menyandang status sebagai Anggota DPRD Kota Banjarbaru dari Partai Keadilan Sejahtera (PKS), tepatnya di tahun 2014 yang lalu.

Berselang lima tahun berikutnya di Pileg 2019, ia kembali sukses melenggang ke parlemen dengan suara terbanyak (2.748 sua... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Liang Anggang Landasan Ulin Utara 1,"Temuan MBG Belatung, SPPG Landasan Ulin Utara 1 Ditutup",Kanal Kalimantan,"Wed, 29 Oct 2025 07:00:00 GMT",https://www.kanalkalimantan.com/temuan-mbg-belatung-sppg-landasan-ulin-utara-1-ditutup/,"KANALKALIMANTAN.COM, BANJARBARU – Satuan Pemenuhan Pelayanan Gizi (SPPG) Landasan Ulin Utara 1, Kota Banjarbaru, Provinsi Kalimantan Selatan menghentikan sementara menyalurkan paket makanan bergizi gratis ke sejumlah penerima manfaat.

Pemberhentian alias penutupan sementara SPPG ini dibenarkan Kepala Dinas Pendidikan (Disdik) Kota Banjarbaru Dedy Sutoyo saat dikonfirmasi, Selasa (28/10/2025).

Dia menyebut sajian menu MBG dari dapur ini dihentikan sementara operasionalnya karena diduga menyalur... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Liang Anggang Landasan Ulin Utara 1,BGN Putuskan Dapur MBG Landasan Ulin,Kalimantan Post,"Thu, 27 Nov 2025 08:00:00 GMT",https://kalimantanpost.com/2025/11/bgn-putuskan-dapur-mbg-landasan-ulin/,"Banjarbaru, KP – Badan Gizi Nasional (BGN) memutuskan dapur Makan Bergizi Gratis (MBG) Landasan Ulin Utara 1 Kota Banjarbaru.

Satuan Pelayanan Pemenuhan Gizi (SPPG) Landasan Ulin Utara 1 Kota Banjarbaru dipastikan beroperasi kembali mulai terhitung Rabu 26 November 2025.

Koordinator Wilayah (Korwil) SPPG Kota Banjarbaru, Citra Nurfitriani, mengatakan BGN memutuskan dapur MBG itu dapat kembali menyalurkan paket makanan pasca temuan sebagian menu yang tidak layak pada Jumat (24/10).

“Keputusan ... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Liang Anggang Landasan Ulin Utara 1,"Limbah Dapur SPPG Landasan Ulin Utara Dikeluhkan Warga, Sumur hingga Kebun Terdampak",Redaksi 8,"Tue, 27 Jan 2026 08:00:00 GMT",https://redaksi8.com/limbah-dapur-sppg-landasan-ulin-utara-dikeluhkan-warga-sumur-hingga-kebun-terdampak/,[Isi berita gagal diekstrak secara utuh. Teks terlalu pendek atau diproteksi. Cek manual link: https://redaksi8.com/limbah-dapur-sppg-landasan-ulin-utara-dikeluhkan-warga-sumur-hingga-kebun-terdampak/]
SPPG Kota Banjarbaru Liang Anggang Landasan Ulin Utara 1,BGN Putuskan Dapur MBG Landasan Ulin Utara Kembali Beroperasional,Kanal Kalimantan,"Wed, 26 Nov 2025 08:00:00 GMT",https://www.kanalkalimantan.com/bgn-putuskan-dapur-mbg-landasan-ulin-utara-kembali-beroperasinal/,"KANALKALIMANTAN.COM, BANJARBARU – Satuan Pelayanan Pemenuhan Gizi (SPPG) Landasan Ulin Utara 1 Kota Banjarbaru dipastikan beroperasi kembali mulai terhitung Rabu 26 November 2025.

Koordinator Wilayah (Korwil) SPPG Kota Banjarbaru, Citra Nurfitriani, mengatakan Badan Gizi Nasional (BGN) memutuskan dapur Makan Bergizi Gratis (MBG) itu dapat kembali menyalurkan paket makanan pasca temuan sebagian menu yang tidak layak pada Jumat (24/10/2025) lalu.

“Keputusan ini atas pertimbangan BGN yang menilai... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Liang Anggang Landasan Ulin Utara 1,SPPG Penyedia Menu Belatung Belum Jelas Tutup atau Lanjut,Kanal Kalimantan,"Wed, 29 Oct 2025 07:00:00 GMT",https://www.kanalkalimantan.com/sppg-penyedia-menu-belatung-belum-jelas-tutup-atau-lanjut/,"KANALKALIMANTAN.COM, BANJARBARU – Nasib Satuan Pemenuhan Pelayanan Gizi (SPPG) Landasan Ulin Utara 1 di Kecamatan Liang Anggang, Kota Banjarbaru, Provinsi Kalimantan Selatan, masih menjadi tanda tanya.

Pasca dilaporkan dugaan penyaluran sebagian menu Makan Bergizi Gratis (MBG) ada belatung pada Jumat (24/10/2025), kondisi SPPG itu terpantau masih belum ada aktivitas maupun pernyataan resmi baik dari pemilik dapur maupun kepala dapur.

Dinas Kesehatan Kota Banjarbaru mengungkap bahwa SPPG terseb... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Liang Anggang Landasan Ulin Utara 1,"Ditemukan Banyak Kekurangan, SPPG Jalan Kurnia Landasan Ulin Utara Diminta Segera Berbenah",Newsway,"Wed, 28 Jan 2026 08:00:00 GMT",https://newsway.co.id/ditemukan-banyak-kekurangan-sppg-jalan-kurnia-landasan-ulin-utara-diminta-segera-berbenah/,"NEWSWAY.CO.ID, BANJARBARU – Munculnya persoalan pembuangan limbah dari Satuan Pelaksana Program Gizi (SPPG) Landasan Ulin Utara, Liang Anggang, M. Iqbal R (ID SPPG: KLVD8GXJ), menjadi perhatian berbagai pihak.

Salah satunya adalah dari Kantor Pusat Pengendalian Lingkungan Hidup Kalimantan yang terjun langsung ke lapangan di dampingi dari beberapa staf Dinas Lingkungan Hidup pada Rabu, (28/01/2026).

Melalui perwakilannya, Rahayu S menyatakan bahwa pihaknya telah meninjau langsung kondisi di lap... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Liang Anggang Landasan Ulin Utara 1,BGN Izinkan SPPG Landasan Ulin Utara 1 Beroperasi Lagi Usai Kasus Belatung - Radar Banjarmasin,Radar Banjarmasin,"Tue, 25 Nov 2025 08:00:00 GMT",https://radarbanjarmasin.jawapos.com/radar-kota/1976877992/bgn-izinkan-sppg-landasan-ulin-utara-1-beroperasi-lagi-usai-kasus-belatung,"BANJARBARU — Setelah sempat dihentikan akibat temuan masalah pada distribusi makan bergizi gratis, Satuan Pelayanan Pemenuhan Gizi (SPPG) Landasan Ulin Utara 1 dipastikan kembali beroperasi mulai Rabu (26/11).

Kepastian itu disampaikan Kepala SPPG Caraka Landasan Ulin Utara Muhammad Nasrullah, Selasa (25/11) malam.

""Alhamdulillah untuk SPPG Landasan Ulin Utara 1 mulai besok akan beroperasional kembali,"" ujarnya.

Baca Juga: Dari Limbah Kayu Cianjur ke Pasar Global: Kisah Faber Instrument Tembu... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Liang Anggang Landasan Ulin Utara 1,SPPG Landasan Ulin Utara 1 Sepi Buntut Isu MBG Berbelatung,Poros Kalimantan,"Wed, 29 Oct 2025 07:00:00 GMT",https://poroskalimantan.com/sppg-landasan-ulin-utara-1-sepi-buntut-isu-mbg-berbelatung/,[Isi berita gagal diekstrak secara utuh. Teks terlalu pendek atau diproteksi. Cek manual link: https://poroskalimantan.com/sppg-landasan-ulin-utara-1-sepi-buntut-isu-mbg-berbelatung/]
SPPG Kota Banjarbaru Liang Anggang Landasan Ulin Utara 1,"Dikeluhkan Warga Karena Limbah, DLH Banjarbaru Minta Pengelola SPPG Landasan Ulin Utara 2 Buat IPAL",Tribunnews.com,"Tue, 27 Jan 2026 08:00:00 GMT",https://banjarmasin.tribunnews.com/kalsel/1347453/dikeluhkan-warga-karena-limbah-dlh-banjarbaru-minta-pengelola-sppg-landasan-ulin-utara-2-buat-ipal,"BANJARMASINPOST.CO.ID, BANJARBARU - Dinas Lingkungan Hidup (DLH) Kota Banjarbaru merespons aduan dugaan pencemaran limbah dari Satuan Pelayanan Pemenuhan Gizi (SPPG) Landasan Ulin Utara 2, di Jalan Kurnia RT 3 Kelurahan Landasan Ulin Utara, Kecamatan Lianganggang.

Kasi Pengawasan dan Penegakan Hukum Lingkungan DLH Banjarbaru, Akhmad Arie Wijaya Abdur, mengatakan setelah mendapatkan aduan, pihaknya langsung menurunkan tim untuk melakukan pengecakan langsung ke lapangan.

Hasilnya, didapati bahwa... [Selengkapnya di file TXT]"
SPPG Kota Banjarbaru Liang Anggang Landasan Ulin Utara 1,"Menu Hamburger MBG SMPN 10 Banjarbaru Mengandung Belatung Hidup, Distribusi Dapur SPPG Dihentikan Sementara - Radar Banjarmasin",Radar Banjarmasin,"Tue, 28 Oct 2025 07:00:00 GMT",https://radarbanjarmasin.jawapos.com/radar-kota/1976758541/menu-hamburger-mbg-smpn-10-banjarbaru-mengandung-belatung-hidup-distribusi-dapur-sppg-dihentikan-sementara,"BANJARBARU - Program Makan Bergizi Gratis (MBG) kembali menjadi sorotan di Kota Banjarbaru. Menu hamburger yang disajikan kepada para siswa SMPN 10 Banjarbaru, Kecamatan Liang Anggang, pada Jumat (24/10/2025) lalu, ditemukan mengandung belatung hidup.

Informasi yang dihimpun, tampak larva berwarna putih bergerak di lauk dan sayur yang disajikan dalam wadah (ompreng). Sebagian siswa diketahui telah mengonsumsi makanan tersebut sebelum temuan itu diketahui.

Kepala SMPN 10 Banjarbaru Moh Zaid Set... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Jekan Raya Menteng 2,Program Makan Bergizi Gratis Dorong Penurunan Stunting dan Dukung Belajar Anak di Palangka Raya,mmc.kalteng.go.id,"Thu, 10 Jul 2025 07:00:00 GMT",https://mmc.kalteng.go.id/berita/read/47861/program-makan-bergizi-gratis-dorong-penurunan-stunting-dan-dukung-belajar-anak-di-palangka-raya,"Kontribusi dari Anggelina Rentika Karolina,  10 Juli 2025 13:02, Dibaca 3,124 kali.

Suasana Makan Bergizi Gratis SDN 1 Menteng (Source : Enggie)

Suasana Makan Bergizi Gratis SDN 1 Menteng (Source : Enggie)

MMCKalteng - Palangka Raya - Salah satu cakupan program prioritas Asta Cita adalah Makan Bergizi Gratis (MBG) yang diinisiasi Presiden Prabowo Subianto, untuk memastikan setiap anak Indonesia tumbuh sehat untuk siap belajar dan berkembang. Program tersebut terus bergulir dan memberikan damp... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Jekan Raya Menteng 2,Tenaga Penjamah Makanan Harus Memiliki Kompetensi Dan Sertifikasi Keamanan Pangan,Pemerintah Kota Palangka Raya,"Mon, 13 Oct 2025 07:00:00 GMT",https://palangkaraya.go.id/tenaga-penjamah-makanan-harus-memiliki-kompetensi-dan-sertifikasi-keamanan-pangan/,"MEDIA CENTER, Palangka Raya – Dinas Kesehatan (Dinkes) Kota Palangka Raya menggelar Pelatihan Penjamah Makanan dan Keamanan Pangan di Aula Arya Dharma Polda Kalimantan Tengah, Senin (13/10/2025).

Pelatihan ini sebagai bagian penting dari percepatan penerbitan Sertifikat Laik Higiene Sanitasi (SLHS) bagi dapur Satuan Pelayanan Pemenuhan Gizi (SPPG).

Plt Kepala Dinas Kesehatan Kota Palangka Raya, Riduan menegaskan bahwa dapur bersih saja belum cukup, tenaga penjamah makanan pun harus memiliki ko... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Jekan Raya Menteng 2,Kodim 1016/Plk Tinjau Pelaksanaan Perdana Makan Bergizi Gratis,RRI.co.id,"Mon, 17 Feb 2025 08:00:00 GMT",https://rri.co.id/palangkaraya/makan-bergizi-gratis/1330083/kodim-1016-plk-tinjau-pelaksanaan-perdana-makan-bergizi-gratis,"KBRN, Palangka Raya: Program prioritas nasional yakni Makan Bergizi Gratis (MBG) telah berlangsung di Kota Palangka Raya. Pelaksanaan program ini perdana dilakukan Satuan Pelayanan Pemenuhan Gizi (SPPG) yang terletak di Jalan Garuda.

Menurut keterangan resmi yang diterima RRI Palangka Raya, pada Senin (17/2/2025), SPPG yang berlokasi di Jalan Garuda V Gg IV No. 1, Kelurahan Palangka, Kecamatan Jekan Raya, menyasar tingkat Sekolah PAUD, TK dan SD. Proses persiapan di dapur sehat hingga penyalura... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Jekan Raya Menteng 2,Makan Bergizi Gratis Disambut Antusias Siswa SDN 1 Menteng Palangka Raya,Intim News,"Thu, 10 Jul 2025 07:00:00 GMT",https://intimnews.com/makan-bergizi-gratis-disambut-antusias-siswa-sdn-1-menteng-palangka-raya/,[Isi berita gagal diekstrak secara utuh. Teks terlalu pendek atau diproteksi. Cek manual link: https://intimnews.com/makan-bergizi-gratis-disambut-antusias-siswa-sdn-1-menteng-palangka-raya/]
SPPG Kota Palangka Raya Jekan Raya Menteng 2,"Baru 16 Sekolah Terlayani, Program Makan Bergizi di Palangka Raya Butuh 20 Titik SPPG",Kompas.com,"Fri, 24 Jan 2025 08:00:00 GMT",https://regional.kompas.com/read/2025/01/24/103855378/baru-16-sekolah-terlayani-program-makan-bergizi-di-palangka-raya-butuh-20?page=all,"PALANGKA RAYA, KOMPAS.com - Program makan bergizi gratis (MBG) di Kota Palangka Raya, Provinsi Kalimantan Tengah, masih belum dapat menyentuh seluruh sekolah di kota setempat.

Hal ini disebabkan karena masih terbatasnya jumlah dapur umum atau Satuan Pelayanan Pemenuhan Gizi (SPPG).

Hingga kini, program MBG di Palangka Raya masih terbatas dilakukan di 16 sekolah yang menjadi cakupan satu SPPG.

SPPG untuk MBG di 16 sekolah itu terletak di Jalan Bukit Kenanga, Kelurahan Palangka, Kecamatan Jekan... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Jekan Raya Menteng 2,"Total Ada 17 SPPG di Palangka Raya, BGN Tegaskan Wajib Penuhi SLHS - Kaltengpos.jawapos.com",KaltengPos,"Wed, 01 Oct 2025 07:00:00 GMT",https://kaltengpos.jawapos.com/palangka-raya/2626646240/total-ada-17-sppg-di-palangka-raya-bgn-tegaskan-wajib-penuhi-slhs,"PALANGKA RAYA – Sebanyak 17 Sentra Penyedia Pangan Gizi (SPPG) telah berdiri di Kota Palangka Raya. Dari jumlah tersebut 13 SPPG sudah beroperasi, 2 SPPG masih dalam masa renovasi, dan 2 SPPG telah memiliki ketua namun belum mulai beroperasi.

Koordinator Regional Badan Gizi Nasional (BGN) Kalimantan Tengah Elisa Agustino menjelaskan bahwa seluruh SPPG saat ini sudah memiliki Sertifikat Laik Higiene Sanitasi (SLHS). Namun sertifikat itu masih tercatat atas nama perusahaan katering bukan SPPG.

B... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Jekan Raya Menteng 2,Sebanyak 16 sekolah di Palangka Raya jalankan program makan bergizi gratis,ANTARA News Kalteng,"Mon, 13 Jan 2025 08:00:00 GMT",https://kalteng.antaranews.com/berita/740054/sebanyak-16-sekolah-di-palangka-raya-jalankan-program-makan-bergizi-gratis,"Palangka Raya (ANTARA) - Sebanyak 16 sekolah di Kota Palangka Raya, Kalimantan Tengah secara resmi menjalankan program makan bergizi gratis, yang merupakan program dari Presiden RI Prabowo Subianto, Senin.

kata Kepala Satuan Pelayanan Pemenuhan Gizi (SPPG) Bukit Kenanga, Novriyan di Palangka Raya, Senin, mengatakan salah satu sekolah yang melaksanakan program makan bergizi gratis, yakni di SDN 1 Bukit Tunggal, Kecamatan Jekan Raya, dengan jumlah siswa 412 orang.

""Kalau menu hari ini, kita ada ... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Jekan Raya Menteng 2,5 Populer Regional: Pejabat BIN Kalteng Ngamuk Pukul Satpol PP - 20 Kades di Sumsel Kena OTT,msn.com,"Thu, 24 Jul 2025 07:00:00 GMT",https://www.msn.com/id-id/berita/other/5-populer-regional-pejabat-bin-kalteng-ngamuk-pukul-satpol-pp-20-kades-di-sumsel-kena-ott/ar-AA1JjCLp?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1,[Isi berita gagal diekstrak secara utuh. Teks terlalu pendek atau diproteksi. Cek manual link: https://www.msn.com/id-id/berita/other/5-populer-regional-pejabat-bin-kalteng-ngamuk-pukul-satpol-pp-20-kades-di-sumsel-kena-ott/ar-AA1JjCLp?apiversion=v2&noservercache=1&domshim=1&renderwebcomponents=1&wcseo=1&batchservertelemetry=1&noservertelemetry=1]
SPPG Kota Palangka Raya Jekan Raya Menteng 2,SDN Petuk Ketimpun Dapat Jatah MBG,RRI.co.id,"Thu, 09 Oct 2025 07:00:00 GMT",https://rri.co.id/palangkaraya/makan-bergizi-gratis/1891885/sdn-petuk-ketimpun-dapat-jatah-mbg,"KBRN, Palangka Raya: Sebagai upaya pemerataan, Tim dari UPTD Puskesmas Jekan Raya melakukan koordinasi langsung ke salah satu sekolah di wilayah binaan di SDN 2 Petuk Katimpun, Palangka Raya.

Secara kebetulan, pada saat yang sama sedang berlangsung kegiatan pendistribusian Makanan Bergizi Gratis (MBG) untuk para anak didik.

Tim kesehatan bersama Bhabinkamtibmas yang turut hadir di lokasi, memanfaatkan momen tersebut untuk meninjau secara langsung kualitas makanan yang dibagikan kepada murid.

... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Jekan Raya Menteng 2,"Lokasi Nobar Timnas 2025 di Samarinda, Balikpapan, Palangkaraya",Tirto.id,"Thu, 20 Mar 2025 07:00:00 GMT",https://tirto.id/info-lokasi-nobar-timnas-vs-australia-2025-samarinda-balikpapan-palangkaraya-g9Gx,"tirto.id - Perjalanan Indonesia dalam Kualifikasi Piala Dunia 2026 mendekati momen krusial saat menghadapi Australia di matchday ke-7 Grup C. Pertandingan seru ini akan digelar pada Kamis, 20 Maret 2025, pukul 16.10 WIB / 17.10 WITA di Sydney Football Stadium, Australia. Para penggemar dapat menyaksikan siaran langsungnya melalui RCTI, GTV, dan Vision+ di channel Sportstars 2.

Selain perubahan di lini pemain, pergantian besar juga terjadi di kursi kepelatihan. Shin Tae-yong, sosok yang membawa ... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Bukit Batu Tangkiling,Camat Bukit Batu dan Lurah Tangkiling tinjau Dapur Umum SPPG dalam Rangka Mendukung Program Gizi Nasional,Pemerintah Kota Palangka Raya,"Wed, 30 Jul 2025 07:00:00 GMT",https://palangkaraya.go.id/camat-bukit-batu-dan-lurah-tangkiling-tinjau-dapur-umum-sppg-dalam-rangka-mendukung-program-gizi-nasional/,"Camat Bukit Batu, Bapak Hendrikus Satrya Budi, A.P., M.A.P bersama Lurah Tangkiling, Kecamatan Bukit Batu melakukan peninjauan terhadap Dapur Umum Satuan Pemenuhan Pelayanan Gizi (SPPG) yang berlokasi di Jl. Bukit Tunggal (Sukamulya), Kelurahan Tangkiling. Dapur umum ini direncanakan akan mulai beroperasi pada tanggal 4 Agustus 2025 mendatang.

Kegiatan ini merupakan bagian dari dukungan Pemerintah Kecamatan Bukit Batu terhadap Program Gizi Nasional, sekaligus selaras dengan pelaksanaan Program ... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Bukit Batu Tangkiling,Camat Bukit Batu didampingi Plt.Sekcam dan Lurah Tumbang Tahai tinjau Dapur Umum SPPG dalam rangka Mendukung Program Gizi Nasional sekaligus perdana per tanggal 4 Agustus 2025 di distribusikan ke Anak sekolah di wilayah Kecamatan Bukit Bat,Pemerintah Kota Palangka Raya,"Mon, 04 Aug 2025 07:00:00 GMT",https://palangkaraya.go.id/camat-bukit-batu-didampingi-plt-sekcam-dan-lurah-tumbang-tahai-tinjau-dapur-umum-sppg-dalam-rangka-mendukung-program-gizi-nasional-sekaligus-perdana-per-tanggal-4-agustus-2025-di-distribusikan-ke-anak/,"Camat Bukit Batu, Bapak Hendrikus Satrya Budi, A.P., M.A.P didampingi Plt. Seretaris Kecamatan Bapak Dony Wandira, S.STP., M.Si dan Lurah Tumbang Tahai Bapak Satriajaya, meninjau dapur umum milik SPPG (Satuan Pelayanan Pemenuhan Gizi) di Jalan Bukit Tunggal Kelurahan Tangkiling Kecamatan Bukit Batu Kota Palangka Raya pada tanggal 4 Agustus 2025. Dapur umum ini didirikan untuk mendukung Program Gizi Nasional dengan menyediakan makan siang gratis bagi anak sekolah di wilayah Kecamatan Bukit Batu.
... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Bukit Batu Tangkiling,"GEGER! Temuan Mayat di Hutan Tumbang Tahai, Palangka Raya",Berita Seputar Borneo,"Thu, 05 Jun 2025 07:00:00 GMT","https://seputarborneo.com/news/16390_GEGER!_Temuan_Mayat_di_Hutan_Tumbang_Tahai,_Palangka_Raya.html","SB, PALANGKA RAYA – Warga Desa Tumbang Tahai, Kecamatan Bukit Batu (Tangkiling), Kota Palangka Raya, digemparkan oleh penemuan tengkorak manusia di dalam kawasan hutan pada Kamis siang 5 Juni 2025.

Penemuan tersebut mengundang perhatian luas dari masyarakat. Pasalnya, selain tengkorak, ditemukan pula bagian-bagian tubuh lainnya yang sudah dalam kondisi tulang belulang.

Dugaan sementara, jasad itu telah lama berada di lokasi sebelum akhirnya ditemukan.

Setelah menerima laporan dari warga, piha... [Selengkapnya di file TXT]"
SPPG Kota Palangka Raya Bukit Batu Tangkiling,Wisata 'Matan Andau' alternatif baru liburan warga Palangka Raya,ANTARA News,"Sun, 30 Apr 2023 07:00:00 GMT",https://www.antaranews.com/video/3513114/wisata-matan-andau-alternatif-baru-liburan-warga-palangka-raya,[Isi berita gagal diekstrak secara utuh. Teks terlalu pendek atau diproteksi. Cek manual link: https://www.antaranews.com/video/3513114/wisata-matan-andau-alternatif-baru-liburan-warga-palangka-raya]
